Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1997,1.79,0.49,1.11,1.51,2.74,2.33,1.3,1.3,2.88,1.59,1.17,0.84,19.05,Ferry
1998,3.17,1.75,1.15,1.69,6.26,3.46,1.16,0.19,0.28,0.66,3.46,3.09,26.32,Ferry
1999,0.98,3.21,1.04,1.04,1.71,1.57,1.68,1.16,0.01,0.81,2.32,1.04,16.57,Ferry
2000,1.69,1.42,1.74,0.59,0.9,1.24,1.3,0.14,0.9,0.95,0.85,1.06,12.78,Ferry
2001,0.65,0.44,1.71,0.6,0.66,1.81,0.92,0.22,0.87,1.44,1.61,3.83,M,Ferry
2002,0.99,0.91,0.93,0.3,1.31,0.97,1.06,0.23,0.68,0.03,1.07,4.77,13.25,Ferry
2003,2.66,0.42,1.58,1.93,1.26,0.89,0,0.08,0.43,0.9,0.61,2.07,12.83,Ferry
2004,1.25,1.41,0.75,0.5,2.23,2.68,0.56,2.26,1.27,1.75,0.61,1.71,16.98,Ferry
2005,0.98,0.04,1.41,1.43,1.94,2.39,0.97,0.47,0.66,1.21,2,2.05,15.55,Ferry
2006,2.71,1.67,0.99,1.4,2.03,1.83,0.77,T,0.46,1.06,2.96,3.13,19.01,Ferry
2007,0.38,1.42,0.64,0.3,0.99,1.65,0.22,0.25,0.92,0.91,1.21,3.06,11.95,Ferry
2008,M,0.41,1.15,1.34,1.11,1.74,1.03,1.36,0.69,0.89,2.36,2.14,M,Ferry
2009,1.06,1.37,1.43,0.92,0.9,2.35,3.35,0.41,0.7,2.08,1.25,1.82,17.64,Ferry
2010,2.5,1.46,2.02,1.5,2.38,3.03,0.54,1.33,1.21,1.61,2.23,2,21.81,Ferry
2011,0.81,0.9,2.64,1.37,4.21,2.53,0.74,0.02,0.04,1.39,3.08,0.55,18.28,Ferry
2012,1.33,1.93,5.1,2.36,0.93,4.21,2.34,0.01,0.03,1.68,4.92,3.36,28.2,Ferry
2013,1.37,0.4,1.05,1.17,1.39,1.97,0.91,1.32,3.5,0.38,1.23,0.42,15.11,Ferry
2014,0.66,1.51,2.06,2.03,2.02,2.1,0.25,1.44,1.13,2.18,1.55,1.93,18.86,Ferry
2015,1.2,1.64,1.88,0.34,1.63,2.06,0.06,M,0.37,1.2,1.31,4.05,M,Ferry
2016,2.52,1.06,2.85,1.72,2.54,1.9,1.64,0.27,0.63,4.87,1.7,M,M,Ferry
2017,M,3.9,2.09,2.93,2.82,0.53,M,0.01,0.41,0.66,2.3,M,M,Ferry
2018,M,M,2.09,M,1.04,2.01,M,0.4,0.75,M,1.49,2.03,M,Ferry
2019,M,1.35,0.71,1.42,M,0.7,1.43,0.87,M,1.01,M,1.28,M,Ferry
2020,M,0.59,0.8,0.18,M,3.94,1.1,0.22,0.57,1.69,M,2.77,M,Ferry
2021,M,2.39,0.33,0.53,M,M,M,0.4,0.83,2.33,1.63,1.92,M,Ferry
2022,2.62,0.4,0.74,M,1.94,3.48,1.15,0.85,M,M,M,M,M,Ferry
